Date,Comparison_Type
20121123,2364
20121124,1058
20121125,7245
20121126,7050
20121127,7138
20121128,466
20121129,1960
20121130,4938
20121201,6749
20121202,311
20121203,6236
20121204,2802
20121205,0
20121206,8356
20121207,768
20121208,5782
20121209,6214
20121210,591
20121211,9568
20121212,5053
20121213,2072
20121214,7729
20121215,461
20121216,7629
20121217,3978
20121218,3410
20121219,7798
20121220,9452
20121221,1101
20121222,6193
20121223,3959
20121225,7677
20121226,4849
20121227,437
20121228,3228
20121229,7474
20121230,7304
20121231,2366
20130101,0
20130102,112
20130103,223
20130104,332
20130105,0
20130106,112
20130107,223
20130108,332
20130109,1212
20130110,1234
20130111,0
20130112,213
20130113,2231
20130114,1256
20130115,2231
20130116,1108
20130117,0
20130118,1819
20130119,6951
20130120,1738
20130121,3588
20130122,8216
20130123,3841
20130124,6572
20130125,0
20130126,0
20130127,0
20130128,0
20130129,5292
20130130,9993
20130131,4689
20130201,7786
20130202,3462
20130203,7675
20130204,3429
20130205,323
20130206,8185
20130207,2108
20130208,3108
20130209,9337
20130210,4711
20130211,2491
20130212,4042
20130213,9614
20130214,8133
20130215,9548
20130216,1108
20130217,98
20130218,6157
20130219,7108
20130220,8872
20130221,3336
20130222,1659
20130223,4119
20130224,5835
20130225,4398
20130226,6683
20130227,4397
20130228,277
20130301,1578
20130302,3980
20130303,9009
20130304,5680
20130305,4808
20130306,6612
20130307,2685
20130308,3413
20130309,935
20130310,7116
20130311,8075
20130312,6631
20130313,3820
20130314,840
20130315,8472
20130316,9154
20130317,3180
20130318,6397
20130319,2713
20130320,4617
20130321,5113
20130322,8916
20130323,9558
20130324,7796
20130325,5200
20130326,9819
20130327,3706
20130328,3118
20130329,5589
20130330,6065
20130331,1114
20130401,4116
20130402,4901
20130403,6533
20130404,3702
20130405,5525
20130406,5234
20130407,2748
20130408,7051
20130409,7096
20130410,1560
20130411,4496
20130412,2320
20130413,8905
20130414,8299
20130415,4764
20130416,0
20130417,0
20130418,5330
20130419,7693
20130420,1720
20130421,7830
20130422,6916
20130423,3258
20130424,4263
20130425,8304
20130426,5363
20130427,3162
20130428,302
20130429,1996
20130430,5322
20130501,4397
20130502,7578
20130503,4396
20130504,801
20130505,1130
20130506,1881
20130507,56
20130508,6215
20130509,3260
20130510,5774
20130511,8936
20130512,1779
20130513,1392
20130514,1989
20130515,1187
20130516,4486
20130517,2233
20130518,9968
20130519,2391
20130520,0
20130521,0
20130522,1279
20130523,2521
20130524,3254
20130525,1661
20130526,377
20130527,1656
20130528,9605
20130529,4530
20130530,2712
20130531,9872
20130601,4664
20130602,910
20130603,9262
20130604,5536
20130605,9604
20130606,7131
20130607,3660
20130608,8236
20130609,4855
20130610,964
20130611,8617
20130612,5524
20130613,6707
20130614,8828
20130615,5719
20130616,4972
20130617,1256
20130618,8530
20130619,588
20130620,76
20130621,4262
20130622,8707
20130623,0
20130624,4568
20130625,7049
20130626,6768
20130627,2567
20130628,9310
20130629,176
20130630,1121
20130701,9302
20130702,7197
20130703,1650
20130704,5348
20130705,134
20130706,6248
20130707,2142
20130708,8048
20130709,1623
20130710,5933
20130711,3579
20130712,6858
20130713,6946
20130714,4696
20130715,4847
20130716,9986
20130717,6767
20130718,9649
20130719,5831
20130720,1010
20130721,2127
20130722,554
20130723,2550
20130724,2771
20130725,9811
20130726,9812
20130727,4488
20130728,2842
20130729,9175
20130730,8139
20130731,5089
20130801,8302
20130802,8501
20130803,9620
20130804,0
20130805,0
20130806,7868
20130807,6750
20130808,1499
20130809,3246
20130810,8638
20130811,518
20130812,978
20130813,8473
20130814,3938
20130815,9260
20130816,6745
20130817,9602
20130818,7895
20130819,5834
20130820,4055
20130821,3904
20130822,2475
20130823,8740
20130824,579
20130825,6862
20130826,6208
20130827,1152
20130828,2745
20130829,9862
20130830,93
20130831,542
20130901,8277
20130902,3618
20130903,4348
20130904,2816
20130905,7402
20130906,5341
20130907,3117
20130908,3702
20130909,7116
20130910,1527
20130911,4021
20130912,9480
20130913,1615
20130914,1539
20130915,7009
20130916,1041
20130917,2266
20130918,6492
20130919,2181
20130920,6507
20130921,3792
20130922,6148
20130923,3287
20130924,4495
20130925,7283
20130926,4025
20130927,2319
20130928,8427
20130929,8873
20130930,1438
20131001,5932
20131002,9147
20131003,7566
20131004,4529
20131005,8166
20131006,9488
20131007,4479
20131008,1177
20131009,4116
20131010,2635
20131011,1691
20131012,8333
20131013,8304
20131014,6059
20131015,7365
20131016,0
20131017,7181
20131018,4028
20131019,7208
20131020,4409
20131021,2776
20131022,8026
20131023,9825
20131024,9662
20131025,787
20131026,1432
20131027,1960
20131028,8997
20131029,4726
20131030,1375
20131031,4089
20131101,3756
20131102,2085
20131103,9706
20131104,0
20131105,4554
20131106,3841
20131107,659
20131108,8804
20131109,485
20131110,6925
20131111,9653
20131112,3124
20131113,4361
20131114,8305
20131115,5010
20131116,6209
20131117,9661
20131118,6782
20131119,6954
20131120,4185
20131121,2190
20131122,146
20131123,4701
20131124,2043
20131125,5791
20131126,3175
20131127,9413
20131128,6264
20131129,7899
20131130,8266
20131201,2678
20131202,6276
20131203,1470
20131204,642
20131205,4548
20131206,3275
20131207,3487
20131208,9329
20131209,2803
20131210,8619
20131211,5723
20131212,9836
20131213,1361
20131214,5571
20131215,26
20131216,8902
20131217,232
20131218,1042
20131219,6734
20131220,1891
20131221,7393
20131222,4075
20131223,8717
20131224,2381
20131225,1315
20131226,5026
20131227,7075
20131228,9893
20131229,7608
20131230,0
20131231,0
20140101,0
20140102,112
20140103,223
20140104,332
20140105,0
20140106,112
20140107,223
20140108,332
20140109,1212
20140110,1234
20140111,0
20140112,213
20140113,2231
20140114,1256
20140115,2231
20140116,4273
20140117,1594
20140118,7216
20140119,9700
20140120,6549
20140121,2899
20140122,3778
20140123,7062
20140124,1546
20140125,8712
20140126,9930
20140127,5060
20140128,7018
20140129,986
20140130,2015
20140131,5624
20140201,4634
20140202,794
20140203,7078
20140204,5362
20140205,532
20140206,9355
20140207,8053
20140208,3119
20140210,4434
20140211,2500
20140212,2108
20140213,8211
20140214,9079
20140215,803
20140216,335
20140217,5926
20140218,8908
20140219,4536
20140220,540
20140221,5608
20140222,1862
20140223,2015
20140224,1855
20140225,289
20140226,8165
20140227,5486
20140228,8906
20140301,5805
20140302,8116
20140303,7215
20140304,3094
20140305,9695
20140306,4637
20140307,2826
20140308,3007
20140309,8336
20140310,4667
20140311,6216
20140312,4685
20140313,5939
20140314,5268
20140315,0
20140316,3220
20140317,3363
20140318,8500
20140319,5828
20140320,5748
20140321,3218
20140322,4933
20140323,7449
20140324,4200
20140325,3508
20140326,3239
20140327,3449
20140328,33
20140329,4164
20140330,8390
20140331,1297
20140401,4999
20140402,4396
20140403,5215
20140404,8809
20140405,3998
20140406,395
20140407,3444
20140408,6151
20140409,4788
20140410,108
20140411,9671
20140412,6318
20140413,5545
20140414,2314
20140415,7873
20140416,3423
20140417,9856
20140418,7647
20140419,7204
20140420,4078
20140421,1421
20140422,868
20140423,9022
20140424,6584
20140425,2103
20140426,0
20140427,2791
20140428,1759
20140429,1908
20140430,4654
20140501,4201
20140502,793
20140503,1032
20140504,4667
20140505,6570
20140506,7818
20140507,6733
20140508,6805
20140509,8706
20140510,9330
20140511,8224
20140512,6249
20140513,9783
20140514,7830
20140515,9965
20140516,64
20140517,7258
20140519,2646
20140520,2411
20140521,4013
20140522,3946
20140523,892
20140524,7744
20140525,6054
20140526,6805
20140527,5513
20140528,9612
20140529,7506
20140530,8241
20140531,7124
20140601,1578
20140602,3980
20140603,9009
20140604,5680
20140605,4808
20140606,6612
20140607,2685
20140608,3413
20140609,935
20140610,7116
20140611,8075
20140612,6631
20140613,3820
20140614,840
20140615,8472
20140616,9154
20140617,3180
20140618,6397
20140619,2713
20140620,4617
20140621,5113
20140622,8916
20140623,9558
20140624,7796
20140625,5200
20140626,9819
20140627,3706
20140628,3118
20140629,5589
20140630,6065
20140701,9325
20140702,3666
20140703,651
20140704,1563
20140705,2187
20140706,3683
20140707,6424
20140708,7240
20140709,6731
20140710,1386
20140711,8163
20140712,9274
20140713,7074
20140714,7939
20140715,1985
20140716,7583
20140717,9781
20140718,2409
20140719,3362
20140720,502
20140721,1599
20140722,6606
20140723,2411
20140724,8880
20140725,9229
20140726,708
20140727,5921
20140728,5833
20140729,9200
20140730,4503
20140731,8619
20140801,3743
20140802,8497
20140803,6
20140804,2812
20140805,4476
20140806,4855
20140807,8945
20140808,2486
20140809,1572
20140810,3979
20140811,7994
20140812,2809
20140813,3027
20140814,5189
20140815,4616
20140816,3918
20140817,2418
20140818,7013
20140819,2426
20140820,9800
20140821,5335
20140822,5273
20140823,8809
20140824,1625
20140825,6839
20140826,7391
20140827,3689
20140828,5204
20140829,7010
20140830,1420
20140831,4806
20140901,8519
20140902,7131
20140903,8586
20140904,1845
20140905,842
20140906,3146
20140907,4666
20140908,6473
20140909,3915
20140910,1242
20140911,7147
20140912,4761
20140913,2273
20140914,3542
20140915,0
20140916,0
20140917,3589
20140918,9264
20140919,5512
20140920,2639
20140921,5408
20140922,6915
20140923,1839
20140924,3041
20140925,9095
20140926,8190
20140927,215
20140928,7247
20140929,7740
20140930,8354
20141001,2649
20141002,3929
20141003,8826
20141004,3344
20141005,2329
20141006,7912
20141007,6196
20141008,9291
20141009,3440
20141010,1211
20141011,7795
20141012,4541
20141013,7056
20141014,3129
20141015,8301
20141016,0
20141017,0
20141018,9621
20141019,9890
20141020,6286
20141021,9155
20141022,2311
20141023,8503
20141024,8377
20141025,3026
20141026,5063
20141027,9166
20141028,9181
20141029,9039
20141030,5020
20141031,6650
20141101,89
20141102,359
20141103,467
20141104,429
20141105,356
20141106,1558
20141107,9137
20141108,8013
20141109,9539
20141110,2059
20141111,2120
20141112,2363
20141113,6137
20141114,4006
20141115,4465
20141116,517
20141117,9160
20141118,3226
20141119,2446
20141120,2992
20141121,4028
20141123,2057
20141124,557
20141125,8906
20141126,809
20141127,3631
20141128,761
20141129,5507
20141130,7275
20141201,8126
20141202,390
20141203,6164
20141204,3684
20141205,7547
20141206,8106
20141207,8303
20141208,1860
20141209,7312
20141210,7865
20141211,9777
20141212,2945
20141213,2561
20141214,9366
20141215,1961
20141216,8161
20141217,5366
20141218,3823
20141219,5136
20141220,1727
20141221,3182
20141222,10
20141223,4336
20141224,5340
20141225,3014
20141226,5239
20141227,5200
20141228,6267
20141229,1055
20141230,3532
20141231,4592
20150101,0
20150102,112
20150103,223
20150104,332
20150105,0
20150106,112
20150107,223
20150108,332
20150109,1212
20150110,1234
20150111,0
20150112,213
20150113,2231
20150114,1256
20150115,2231
20150116,3442
20150117,0
20150118,8013
20150119,1857
20150120,6085
20150121,5533
20150124,3217
20150125,6966
20150126,7116
20150127,2245
20150128,0
20150129,8133
20150130,8463
20150131,204
20150201,3996
20150202,0
20150203,3072
20150204,6501
20150205,4067
20150206,8656
20150207,2262
20150208,3688
20150209,0
20150210,4007
20150211,1996
20150212,1562
20150213,2194
20150214,6053
20150215,6378
20150216,2295
20150217,0
20150218,4142
20150219,4893
20150220,9219
20150221,0
20150222,7348
20150223,416
20150224,1498
20150225,9539
20150226,3540
20150227,3179
20150228,7924
20150301,6524
20150302,6809
20150303,9056
20150304,0
20150305,5073
20150306,277
20150307,1109
20150308,3792
20150309,6168
20150310,8151
20150311,3475
20150312,1431
20150313,5411
20150314,7660
20150315,904
20150316,3975
20150317,0
20150318,9095
20150319,3632
20150320,9239
20150321,6963
20150322,2054
20150323,6815
20150324,9126
20150325,7984
20150326,9858
20150327,4589
20150328,4104
20150329,0
20150330,754
20150331,4618
20150401,772
20150402,5671
20150403,5746
20150404,1083
20150405,711
20150406,3861
20150407,676
20150408,378
20150409,4003
20150410,0
20150411,4538
20150412,6333
20150413,5417
20150414,2249
20150415,9820
20150416,7295
20150417,5206
20150418,588
20150419,1972
20150420,0
20150421,4886
20150422,8640
20150424,8988
20150425,7204
20150426,1693
20150427,7830
20150428,4699
20150429,1337
20150501,9617
20150502,5378
20150503,565
20150504,5329
20150505,6859
20150506,7659
20150507,7455
20150508,2214
20150509,1849
20150510,5250
20150511,2869
20150512,6644
20150513,8971
20150514,8279
20150515,9403
20150516,3814
20150517,9133
20150518,1383
20150519,6781
20150520,9875
20150521,3995
20150522,661
20150523,9456
20150524,4515
20150525,6049
20150526,5158
20150527,7553
20150528,2540
20150529,1957
20150530,5016
20150531,1735
20150601,6749
20150602,311
20150603,6236
20150604,2802
20150605,0
20150606,8356
20150607,768
20150608,5782
20150609,6214
20150610,591
20150611,9568
20150612,5053
20150613,2072
20150614,7729
20150615,461
20150616,7629
20150617,3978
20150618,3410
20150619,7798
20150620,9452
20150621,1101
20150622,6193
20150623,3959
20150625,7677
20150626,4849
20150627,437
20150628,3228
20150629,7474
20150630,7304
20150701,1410
20150702,8233
20150703,2332
20150704,9690
20150705,4472
20150706,7942
20150707,6166
20150708,7725
20150709,0
20150710,5064
20150711,5168
20150712,5198
20150713,8023
20150714,506
20150715,7170
20150716,621
20150717,9054
20150718,6029
20150719,8085
20150720,8
20150721,8427
20150722,3034
20150723,367
20150724,8882
20150725,4572
20150726,4368
20150727,0
20150728,3657
20150729,6907
20150730,1686
20150731,0
20150801,9924
20150802,3776
20150803,6485
20150804,305
20150805,7990
20150806,2876
20150807,9542
20150808,4124
20150809,4943
20150810,1406
20150811,3553
20150812,5227
20150813,6772
20150814,3411
20150815,2743
20150816,2526
20150817,7236
20150818,4364
20150819,180
20150820,4561
20150821,3768
20150822,4308
20150823,6261
20150824,7689
20150825,6854
20150826,9562
20150827,133
20150828,1375
20150829,4242
20150830,3474
20150831,5080
20150901,4664
20150902,910
20150903,9262
20150904,5536
20150905,9604
20150906,7131
20150907,3660
20150908,8236
20150909,4855
20150910,964
20150911,8617
20150912,5524
20150913,6707
20150914,8828
20150915,5719
20150916,4972
20150917,1256
20150918,8530
20150919,588
20150920,76
20150921,4262
20150922,8707
20150923,0
20150924,4568
20150925,7049
20150926,6768
20150927,2567
20150928,9310
20150929,176
20150930,1121
20151001,710
20151002,5840
20151003,7129
20151004,5521
20151005,2282
20151006,691
20151007,5678
20151008,8783
20151009,8895
20151010,345
20151011,6600
20151012,238
20151013,9711
20151014,9714
20151015,9194
20151016,390
20151017,5356
20151018,7345
20151019,3337
20151020,9253
20151021,9551
20151022,8423
20151023,34
20151024,9692
20151025,1742
20151026,889
20151027,4210
20151028,1213
20151029,7692
20151030,3228
20151031,8794
20151101,183
20151102,8988
20151103,443
20151104,9317
20151105,3832
20151106,6376
20151107,6174
20151108,0
20151109,2743
20151110,2760
20151111,9367
20151112,3221
20151113,4092
20151114,217
20151115,2759
20151116,5897
20151117,9579
20151118,7935
20151119,178
20151120,7450
20151121,4219
20151122,2881
20151123,1296
20151124,5231
20151125,7944
20151126,1203
20151127,2149
20151128,960
20151129,1817
20151130,7332
20151201,5598
20151202,7250
20151203,9265
20151204,5731
20151205,7250
20151206,4639
20151207,5091
20151208,3784
20151209,1269
20151210,5660
20151211,3417
20151212,2748
20151213,4676
20151214,1023
20151215,0
20151216,9298
20151217,6058
20151218,3848
20151219,2188
20151220,2248
20151221,8378
20151222,4660
20151223,6680
20151224,2374
20151225,9909
20151226,1519
20151227,3377
20151228,3349
20151229,5318
20151230,7768
20151231,947
20160101,0
20160102,112
20160103,223
20160104,332
20160105,0
20160106,112
20160107,223
20160108,332
20160109,1212
20160150,1234
20160151,0
20160152,213
20160153,2231
20160154,1256
20160155,2231
20160156,6289
20160157,0
20160158,4802
20160159,6890
20160120,1475
20160121,5665
20160122,9727
20160123,5725
20160124,8207
20160125,7769
20160126,4219
20160127,9011
20160128,6987
20160129,2302
20160130,5246
20160131,6379
20160201,237
20160202,4499
20160203,5871
20160204,4941
20160205,7789
20160206,1523
20160207,9227
20160208,7572
20160209,9132
20160210,9596
20160211,111
20160212,9246
20160213,152
20160214,6276
20160215,2606
20160216,6758
20160217,8484
20160218,342
20160219,663
20160220,3601
20160221,3835
20160222,553
20160223,5649
20160224,9217
20160225,2575
20160226,7639
20160227,6362
20160228,6753
20160229,7463
20160301,7529
20160302,9292
20160303,9332
20160304,4676
20160305,2426
20160306,5853
20160307,6662
20160308,5548
20160309,1814
20160310,3946
20160311,6713
20160312,6532
20160313,7276
20160314,2319
20160315,179
20160316,8128
20160317,9903
20160318,6786
20160319,8260
20160320,1527
20160321,718
20160322,5145
20160323,8389
20160324,9501
20160325,2996
20160326,9838
20160327,9688
20160328,8740
20160329,9419
20160330,793
20160331,1107
20160401,2642
20160402,9047
20160403,2402
20160404,9577
20160405,2917
20160406,111
20160407,3216
20160408,2655
20160409,3345
20160410,4367
20160411,7558
20160412,7721
20160413,5830
20160414,8624
20160415,298
20160416,1245
20160417,3050
20160418,6344
20160419,665
20160420,7367
20160422,8414
20160423,1060
20160424,6754
20160425,8741
20160426,699
20160427,8106
20160428,1271
20160429,1533
20160430,9730
20160501,8679
20160502,6455
20160503,6123
20160504,9452
20160505,2698
20160506,2792
20160507,2016
20160508,1247
20160509,416
20160510,4461
20160511,2030
20160512,4399
20160513,0
20160514,2861
20160515,5331
20160516,5332
20160517,15
20160518,19
20160519,1957
20160520,622
20160521,4279
20160522,7409
20160523,504
20160524,4700
20160525,4349
20160526,2224
20160527,8543
20160528,6506
20160529,5009
20160530,4728
20160531,4715
20160601,290
20160602,76
20160603,21
20160604,317
20160605,73
20160606,255
20160607,106
20160608,174
20160609,162
20160610,200
20160611,151
20160612,377
20160613,472
20160614,328
20160615,76
20160616,320
20160617,48
20160618,485
20160619,492
20160620,465
20160621,444
20160622,295
20160623,263
20160624,479
20160625,55
20160626,219
20160627,153
20160628,353
20160629,309
20160630,296
20160701,9932
20160702,5855
20160703,6731
20160704,585
20160705,3250
20160706,9982
20160707,5568
20160708,4645
20160709,5596
20160710,6143
20160711,6691
20160712,4193
20160713,9106
20160714,6478
20160716,3636
20160717,0
20160718,7875
20160719,3584
20160720,8992
20160721,9195
20160722,518
20160723,9070
20160724,6333
20160725,5171
20160726,3649
20160727,8458
20160728,5303
20160729,54
20160730,4632
20160731,4962
20160801,7544
20160802,212
20160803,8703
20160804,1404
20160805,6372
20160806,8941
20160807,1896
20160808,8617
20160809,8788
20160810,4897
20160811,1170
20160813,7676
20160814,8188
20160815,2821
20160816,2007
20160817,4763
20160818,9553
20160819,2333
20160820,7490
20160821,8250
20160822,8116
20160823,8806
20160824,4198
20160825,650
20160826,2423
20160827,8015
20160828,5220
20160829,1913
20160830,4240
20160831,1099
20160901,9571
20160902,3148
20160903,5451
20160904,8008
20160905,4301
20160906,6299
20160907,5574
20160908,5908
20160909,346
20160910,1207
20160911,5301
20160912,2440
20160913,4110
20160914,4515
20160915,5830
20160916,9231
20160917,2109
20160918,4574
20160919,5363
20160920,8434
20160921,3103
20160922,8942
20160923,2213
20160924,6811
20160925,0
20160926,3801
20160927,6888
20160928,536
20160929,3204
20160930,8898
20161001,332
20161002,3795
20161003,1936
20161004,83
20161005,9850
20161006,2152
20161007,4353
20161008,4650
20161009,9010
20161010,3998
20161011,4543
20161012,4065
20161013,3249
20161014,5843
20161015,7970
20161016,5609
20161017,4206
20161018,4157
20161019,9961
20161020,5191
20161021,7005
20161022,7345
20161023,4904
20161024,4850
20161025,0
20161026,8155
20161027,3905
20161028,2525
20161029,2860
20161030,5848
20161031,5655
20161101,202
20161102,6101
20161103,4730
20161104,838
20161105,7590
20161106,5497
20161107,1900
20161108,997
20161109,2335
20161110,3273
20161112,6061
20161113,4044
20161114,8919
20161115,3649
20161116,5702
20161117,4389
20161118,8486
20161119,0
20161120,6068
20161121,4434
20161122,9619
20161123,2364
20161124,1058
20161125,7245
20161126,7050
20161127,7138
20161128,466
20161129,1960
20161130,4938
20161201,6749
20161202,311
20161203,6236
20161204,2802
20161205,0
20161206,8356
20161207,768
20161208,5782
20161209,6214
20161210,591
20161211,9568
20161212,5053
20161213,2072
20161214,7729
20161215,461
20161216,7629
20161217,3978
20161218,3410
20161219,7798
20161220,9452
20161221,1101
20161222,6193
20161223,3959
20161225,7677
20161226,4849
20161227,437
20161228,3228
20161229,7474
20161230,7304
20161231,2366
20170101,0
20170102,112
20170103,223
20170104,332
20170105,0
20170106,112
20170107,223
20170108,332
20170109,1212
20170110,1234
20170111,0
20170112,213
20170113,2231
20170114,1256
20170115,2231
20170116,1108
20170117,0
20170118,1819
20170119,6951
20170120,1738
20170121,3588
20170122,8216
20170123,3841
20170124,6572
20170125,0
20170126,0
20170127,0
20170128,0
20170129,5292
20170130,9993
20170131,4689
20170201,7786
20170202,3462
20170203,7675
20170204,3429
20170205,323
20170206,8185
20170207,2108
20170208,3108
20170209,9337
20170210,4711
20170211,2491
20170212,4042
20170213,9614
20170214,8133
20170215,9548
20170216,1108
20170217,98
20170218,6157
20170219,7108
20170220,8872
20170221,3336
20170222,1659
20170223,4119
20170224,5835
20170225,4398
20170226,6683
20170227,4397
20170228,277
20170301,1578
20170302,3980
20170303,9009
20170304,5680
20170305,4808
20170306,6612
20170307,2685
20170308,3413
20170309,935
20170310,7116
20170311,8075
20170312,6631
20170313,3820
20170314,840
20170315,8472
20170316,9154
20170317,3180
20170318,6397
20170319,2713
20170320,4617
20170321,5113
20170322,8916
20170323,9558
20170324,7796
20170325,5200
20170326,9819
20170327,3706
20170328,3118
20170329,5589
20170330,6065
20170331,1114
20170401,4116
20170402,4901
20170403,6533
20170404,3702
20170405,5525
20170406,5234
20170407,2748
20170408,7051
20170409,7096
20170410,1560
20170411,4496
20170412,2320
20170413,8905
20170414,8299
20170415,4764
20170416,0
20170417,0
20170418,5330
20170419,7693
20170420,1720
20170421,7830
20170422,6916
20170423,3258
20170424,4263
20170425,8304
20170426,5363
20170427,3162
20170428,302
20170429,1996
20170430,5322
20170501,4397
20170502,7578
20170503,4396
20170504,801
20170505,1130
20170506,1881
20170507,56
20170508,6215
20170509,3260
20170510,5774
20170511,8936
20170512,1779
20170513,1392
20170514,1989
20170515,1187
20170516,4486
20170517,2233
20170518,9968
20170519,2391
20170520,0
20170521,0
20170522,1279
20170523,2521
20170524,3254
20170525,1661
20170526,377
20170527,1656
20170528,9605
20170529,4530
20170530,2712
20170531,9872
20170601,89
20170602,359
20170603,467
20170604,429
20170605,356
20170606,1558
20170607,9137
20170608,8013
20170609,9539
20170610,2059
20170611,2120
20170612,2363
20170613,6137
20170614,4006
20170615,4465
20170616,517
20170617,9160
20170618,3226
20170619,2446
20170620,2992
20170621,4028
20170623,2057
20170624,557
20170625,8906
20170626,809
20170627,3631
20170628,761
20170629,5507
20170630,7275
20170701,9302
20170702,7197
20170703,1650
20170704,5348
20170705,134
20170706,6248
20170707,2142
20170708,8048
20170709,1623
20170710,5933
20170711,3579
20170712,6858
20170713,6946
20170714,4696
20170715,4847
20170716,9986
20170717,6767
20170718,9649
20170719,5831
20170720,1010
20170721,2127
20170722,554
20170723,2550
20170724,2771
20170725,9811
20170726,9812
20170727,4488
20170728,2842
20170729,9175
20170730,8139
20170731,5089
20170801,8302
