IDNum,Number,newClusters,xs,ys,point,xVal,yVal,centerX,centerY,distNoSqrt,dist,theta,spiralX,spiralY,spiral7X,spiralGX,spiralGY,equalX,equalY,spiralSevX,spiralSevY,theta0,theta1,equalXold,equalX1,equalYold,equalY1,sunflrx1,sunflry1,sunflrxOLD,sunflryOLD,words,Recognitions,Enrollments,Engagements,status,gender,yearsteaching,equalX0,equalY0,sunflrx,sunflry
249,183,0,-0.24834,-0.17354,184,3,-3.5,-0.3321476,-0.1116428,0.010855,0.1041872,2.4777377,-0.0820602,0.0641957,-4.0820602,-1.5820602,-0.3358043,6.647177651,-11.17206468,-28.35282235,78.82793532,10.99999981,164.64,0.097361228,6.367102359,-21.99978456,21.05849015,-79.90263877,118.0002154,-79.90263877,118.0002154,"my laboratory assignments, mathematical treatments that I had left out in the past",4,24,5,0,1,9,3.605039875,-0.060724784,-19.39496013,4.939275216
255,143,0,-0.22948,-0.14432,144,-2.5,-3,-0.3321476,-0.1116428,0.0116084,0.1077425,2.5581029,-0.0899159,0.0593596,-4.0899159,-1.5899159,-0.3406404,9.852602524,-9.946166271,-25.14739748,80.05383373,11.4999998,166.11,11.1160055,-21.23413347,-20.1354022,8.838075335,-68.8839945,119.8645978,-68.8839945,119.8645978,about how to ensure that our curriculum supports the mathematical identity development of our students,1,1,6,1,1,7,3.357871498,1.65066623,-19.6421285,6.65066623
205,184,0,-0.30324,-0.22233,185,2.5,-3.5,-0.3321476,-0.1116428,0.0130873,0.1143997,2.7078977,-0.1038085,0.0480738,-4.1038085,-1.6038085,-0.3519262,12.72851765,-7.936298794,-22.27148235,82.06370121,11.9999998,167.58,20.25249237,-11.40513038,-12.87775418,-21.116889,-59.74750763,127.1222458,-59.74750763,127.1222458,a human race will undoubtedly require math and mathematical thinking to solve,3,1,10,0,1,9,2.364824197,3.067182178,-20.6351758,8.067182178
247,175,0,-0.36,0.00017,176,3.5,0,-0.3321476,-0.1116428,0.0132779,0.1152296,2.726508,-0.1054446,0.0464684,-4.1054446,-1.6054446,-0.3535316,15.10917059,-5.264310422,-19.89082941,84.73568958,12.49999979,169.05,24.94495663,20.68964318,-1.658052753,-14.03348371,-55.05504337,138.3419472,-55.05504337,138.3419472,I tackle new challenges while teaching algebra 2 and trigonometry for the first time next year,2,1,5,1,1,19,0.852279366,3.908147884,-22.14772063,8.908147884
77,158,0,-0.44157,-0.16697,159,-2,3,-0.3321476,-0.1116428,0.0150344,0.1226147,2.8915121,-0.1188004,0.0303449,-4.1188004,-1.6188004,-0.3696551,16.87267505,-2.076737015,-18.12732495,87.92326299,12.99999978,170.52,23.59361874,16.68593178,10.92433773,19.9394002,-56.40638126,150.9243377,-56.40638126,150.9243377,"the biggest change was the use of calculators, ninth grade algebra students were using graphing calculators",3,1,3,0,1,11,-0.874687108,4.029258302,-23.87468711,9.029258302
165,186,0,-0.28826,-0.22915,187,1.5,-3.5,-0.3321476,-0.1116428,0.0157341,0.1254355,2.9542511,-0.1232407,0.0233621,-4.1232407,-1.6232407,-0.3766379,17.94004299,1.46794324,-17.05995701,91.46794324,13.49999977,171.99,16.06286291,-18.85758992,21.70217582,19.3233357,-63.93713709,161.7021758,-63.93713709,161.7021758,"the first academic subjects that I was accountable for were earth science, algebra, and computers",2,22,6,1,0,9,-2.498920611,3.428614265,-25.49892061,8.428614265
268,168,0,-0.39149,-0.00045,169,3,3,-0.3321476,-0.1116428,0.0158854,0.1260372,2.9676132,-0.1241345,0.0218174,-4.1241345,-1.6241345,-0.3781826,18.27183882,5.20959751,-16.72816118,95.20959751,13.99999976,173.46,3.828648734,-21.90514254,27.73700505,-17.4403191,-76.17135127,167.737005,-76.17135127,167.737005,I was interested in learning about how math teachers model science in their curriculum,1,1,3,0,0,11,-3.746878435,2.227308241,-26.74687843,7.227308241
48,144,0,-0.2035,-0.10241,145,-3,-3,-0.3321476,-0.1116428,0.0166355,0.1289785,3.032831,-0.1282164,0.0140003,-4.1282164,-1.6282164,-0.3859997,17.86342376,8.994336649,-17.13657624,98.99433665,14.49999975,174.93,-10.29279703,15.688562,27.11195916,-24.38993691,-90.29279703,167.1119592,-90.29279703,167.1119592,what it has done for math teachers and look forward to learning from others,1,9,1,1,1,7,-4.427003402,0.633751434,-27.4270034,5.633751434
222,188,0,-0.3655,-0.23962,189,0.5,-3.5,-0.3321476,-0.1116428,0.0174905,0.1322518,3.1052098,-0.1321643,0.0048106,-4.1321643,-1.6321643,-0.3951894,16.73951196,12.68024997,-18.26048804,102.68025,14.99999974,176.4,-22.79063239,26.7360157,19.50864104,13.60828661,-102.7906324,159.508641,-102.7906324,159.508641,it allows me to make other brilliant math teachers,1,1,4,0,0,21,-4.448813581,-1.099116792,-27.44881358,3.900883208
215,132,0,-0.24121,-0.00575,133,3,-3,-0.3321476,-0.1116428,0.0194829,0.1395813,3.2665229,-0.1384935,-0.0173926,-4.1384935,-1.6384935,-0.4173926,14.94855306,16.14127509,-20.05144694,106.1412751,15.49999974,177.87,-30.33205566,-11.21051401,6.40049996,28.90197875,-110.3320557,146.4005,-110.3320557,146.4005,one of the most important things that I get out of the fellowship is the connections it allows me to make with other brilliant math teachers,5,1,7,0,0,10,-3.824072939,-2.715965052,-26.82407294,2.284034948
177,172,0,-0.26682,0.01931,173,3.5,1.5,-0.3321476,-0.1116428,0.0214163,0.1463432,3.4144269,-0.1409301,-0.0394339,-4.1409301,-1.6409301,-0.4394339,12.55729082,19.2695212,-22.44270918,109.2695212,15.99999973,179.34,-30.64510588,-30.8473276,-9.212897769,-8.511308957,-110.6451059,130.7871022,-110.6451059,130.7871022,there is a need for math teachers who understand the content well and are able to help others to understand it,13,1,9,0,0,12,-2.653559375,-3.994824481,-25.65355938,1.005175519
438,201,0,-0.45023,-0.19906,202,-3.5,-1,-0.3321476,-0.1116428,0.0215852,0.1469191,3.4269819,-0.1409765,-0.0413623,-4.1409765,-1.6409765,-0.4413623,9.645720884,21.97635249,-25.35427912,111.9763525,16.49999972,180.81,-23.17910951,5.531700866,-23.48890977,-32.5330645,-103.1791095,116.5110902,-103.1791095,116.5110902,continue to be a math teacher because it aligns with my vision of the person I've always wanted to be,1,6,1,1,0,4,-1.104017472,-4.772959818,-24.10401747,0.227040182
169,171,0,-0.47947,-0.0887,172,3.5,2,-0.3321476,-0.1116428,0.0222303,0.1490982,3.4744356,-0.1409152,-0.048715,-4.1409152,-1.6409152,-0.448715,6.302575725,24.19250998,-28.69742427,114.19251,16.99999971,182.28,-9.355562973,33.92228372,-32.68751201,2.297534971,-89.35556297,107.312488,-89.35556297,107.312488,my goal to continually become a better math teacher,4,1,3,0,0,12,0.619921816,-4.961420859,-22.38007818,0.038579141
309,196,0,-0.471,-0.17194,197,-3.5,-3.5,-0.3321476,-0.1116428,0.0229157,0.1513794,3.5240184,-0.1404441,-0.0564906,-4.1404441,-1.6404441,-0.4564906,2.621397228,25.86751392,-32.37860277,115.8675139,17.4999997,183.75,7.680388519,1.160745343,-34.14691248,34.98074714,-72.31961148,105.8530875,-72.31961148,105.8530875,bestow that same passion for learning and growing to other teachers as well,3,15,1,0,1,11,2.304514112,-4.548539844,-20.69548589,0.451460156
361,146,0,-0.23456,-0.22923,147,-3,-2,-0.3321476,-0.1116428,0.0233501,0.1528073,3.5550034,-0.1399342,-0.0613881,-4.1399342,-1.6399342,-0.4613881,-1.302790525,26.96855089,-36.30279053,116.9685509,17.99999969,185.22,23.7713932,-35.67743614,-27.03554818,4.808383345,-56.2286068,112.9644518,-56.2286068,112.9644518,"passionate about interdisciplinary curricula, such as the Architecture course that I created and teach",2,22,2,0,1,12,3.7528667,-3.593882516,-19.2471333,1.406117484
206,141,0,-0.41705,0.02088,142,-1.5,-3,-0.3321476,-0.1116428,0.0247707,0.1573872,3.6541253,-0.1371637,-0.0771805,-4.1371637,-1.6371637,-0.4771805,-5.376227273,27.47901345,-40.37622727,117.4790135,18.49999968,186.69,34.76241707,-8.606658235,-12.67179385,-35.98507238,-45.23758293,127.3282061,-45.23758293,127.3282061,have also been able to combine my passion for research and travel with my love for teaching,1,1,7,1,1,7,4.805629478,-2.214932351,-18.19437052,2.785067649
131,156,0,-0.31678,-0.2683,157,-3,3,-0.3321476,-0.1116428,0.0247776,0.1574091,3.6545998,-0.1371462,-0.0772563,-4.1371462,-1.6371462,-0.4772563,-9.508620463,27.39682713,-44.50862046,117.3968271,18.99999968,188.16,37.57077734,35.88059975,5.69532179,-12.51329539,-42.42922266,145.6953218,-42.42922266,145.6953218,want to share my passion for math with children,5,1,8,0,1,11,5.355006149,-0.569130167,-17.64499385,4.430869833
109,207,0,-0.48807,-0.13329,208,-3.5,2,-0.3321476,-0.1116428,0.0247804,0.1574179,3.6547891,-0.1371393,-0.0772866,-4.1371393,-1.6371393,-0.4772866,-13.61485751,26.73267018,-48.61485751,116.7326702,19.49999967,189.63,31.03679168,16.48293326,23.6160446,35.34562082,-48.96320832,163.6160446,-48.96320832,163.6160446,got to share my passion and excitement for teaching math,2,23,6,0,0,11,5.351650842,1.166118891,-17.64834916,6.166118891
173,142,0,-0.43933,0.01108,143,-2,-3,-0.3321476,-0.1116428,0.026549,0.1629385,3.77375,-0.1314514,-0.0962782,-4.1314514,-1.6314514,-0.4962782,-17.61628233,25.50816726,-52.61628233,115.5081673,19.99999966,191.1,16.32329493,-34.36678109,36.51780446,20.46764172,-63.67670507,176.5178045,-63.67670507,176.5178045,"because of my passion for mathematics, I see myself able to present concepts to students in ways that are easy for them to understand",1,17,3,0,1,7,4.804818747,2.813132918,-18.19518125,7.813132918
363,147,0,-0.20471,-0.21766,148,-3,-1.5,-0.3321476,-0.1116428,0.02748,0.1657709,3.8345642,-0.127536,-0.1058988,-4.127536,-1.627536,-0.5058988,-21.44159309,23.75411724,-56.44159309,113.7541172,20.49999965,192.57,-3.262091966,-24.41748612,40.87002271,-32.93609527,-83.26209197,180.8700227,-83.26209197,180.8700227,"they were not only passionate educators, but also learners as well",1,26,4,0,0,9,3.776737347,4.21144334,-19.22326265,9.21144334
256,140,0,-0.18931,-0.01744,141,-1,-3,-0.3321476,-0.1116428,0.0292768,0.1711045,3.9486834,-0.1183363,-0.1235851,-4.1183363,-1.6183363,-0.5235851,-25.02741671,21.5087985,-60.02741671,111.5087985,20.99999964,194.04,-23.00461634,31.05121025,35.13954506,-28.28113049,-103.0046163,175.1395451,-103.0046163,175.1395451,"can motivate my students with not only passion, but also expertise",1,12,1,1,1,6,2.372548844,5.231731261,-20.62745116,10.23173126
84,138,0,-0.23999,0.03627,139,0,-3,-0.3321476,-0.1116428,0.0303712,0.1742734,4.0162401,-0.1117559,-0.1337231,-4.1117559,-1.6117559,-0.5337231,-28.318612,18.81638154,-63.318612,108.8163815,21.49999963,195.51,-37.91703685,32.00647275,20.28049104,28.71560033,-117.9170368,160.280491,-117.9170368,160.280491,a career that seemed to suit me well because of my passion for it was interdependent with how I helped others learn,2,1,3,0,1,9,0.727357968,5.785408403,-22.27264203,10.7854084
161,178,0,-0.33614,0.0636,179,3.5,-1.5,-0.3321476,-0.1116428,0.030726,0.1752883,4.037837,-0.1094759,-0.1368979,-4.1094759,-1.6094759,-0.5368979,-31.26834921,15.72546781,-66.26834921,105.7254678,21.99999962,196.98,-43.99827651,-25.9386909,-0.389441097,35.54130435,-123.9982765,139.6105589,-123.9982765,139.6105589,"STEM teachers fuels not only my passion for the profession, but also my expertise",2,17,2,1,1,11,-1.008070688,5.829562032,-24.00807069,10.82956203
204,173,0,-0.22674,0.02861,174,3.5,1,-0.3321476,-0.1116428,0.0307816,0.1754469,4.0412107,-0.109112,-0.1373906,-4.109112,-1.609112,-0.5373906,-33.83800852,12.28776543,-68.83800852,102.2877654,22.49999962,198.45,-39.29871722,-38.83398639,-21.92283798,-22.73590775,-119.2987172,118.077162,-119.2987172,118.077162,the things that you are teaching about lends an authenticity to your voice and a passion to your speech,2,20,1,0,1,10,-2.681546605,5.36743028,-25.6815466,10.36743028
106,205,0,-0.41633,-0.2668,206,-3.5,1,-0.3321476,-0.1116428,0.0311604,0.1765231,4.0640901,-0.1065902,-0.1407087,-4.1065902,-1.6065902,-0.5407087,-35.99693542,8.556905986,-70.99693542,98.55690599,22.99999961,199.92,-24.51033421,19.1286501,-38.92612898,-41.83413374,-104.5103342,101.073871,-104.5103342,101.073871,becoming an excellent teacher is a passion that I have always had,2,16,3,0,1,7,-4.152423209,4.444927613,-27.15242321,9.444927613
203,134,0,-0.38746,0.06186,135,2,-3,-0.3321476,-0.1116428,0.0331627,0.1821063,4.1824455,-0.0920519,-0.1571278,-4.0920519,-1.5920519,-0.5571278,-37.72208566,4.58740158,-72.72208566,94.58740158,23.4999996,201.39,-2.909567622,44.49329868,-46.90985415,15.1441861,-82.90956762,93.09014585,-82.90956762,93.09014585,want to share my passion for physics with others,8,1,12,0,1,10,-5.302390273,3.143987499,-28.30239027,8.143987499
95,139,0,-0.50585,-0.17698,140,-0.5,-3,-0.3321476,-0.1116428,0.0344415,0.1855841,4.2558896,-0.0818071,-0.1665805,-4.0818071,-1.5818071,-0.5665805,-38.99758802,0.433738279,-73.99758802,90.43373828,23.99999959,202.86,20.36057456,-10.81547101,-43.46776971,46.76564537,-59.63942544,96.53223029,-59.63942544,96.53223029,always had a passion for helping others,2,1,3,0,1,11,-6.043482297,1.573633286,-29.0434823,6.573633286
118,155,0,-0.51516,-0.06999,156,-3,2.5,-0.3321476,-0.1116428,0.0352285,0.1876926,4.3003098,-0.0751737,-0.1719808,-4.0751737,-1.5751737,-0.5719808,-39.81424887,-3.850400871,-74.81424887,86.14959913,24.49999958,204.33,39.51405309,-48.60860639,-28.97653548,-6.180888682,-40.48594691,111.0234645,-40.48594691,111.0234645,part of this passion for my own personal growth is sustained because I enjoy connecting with other highly passionate educators,1,1,6,1,1,5,-6.322999777,-0.140263379,-29.32299978,4.859736621
274,167,0,-0.15458,-0.18165,168,2.5,3,-0.3321476,-0.1116428,0.0364313,0.1908697,4.367098,-0.0646038,-0.179604,-4.0646038,-1.5646038,-0.579604,-40.16901864,-8.212791345,-75.16901864,81.78720866,24.99999957,205.8,49.56013777,1.283918354,-6.61760864,-49.98351282,-30.43986223,133.3823914,-30.43986223,133.3823914,"he was a special educator extremely reflective, thoughtful, and passionate",2,1,5,0,1,11,-6.125316511,-1.865609187,-29.12531651,3.134390813
350,150,0,-0.27808,0.0748,151,-3,0,-0.3321476,-0.1116428,0.0376842,0.1941243,4.4353274,-0.0530989,-0.186721,-4.0530989,-1.5530989,-0.586721,-40.06443669,-12.60321042,-75.06443669,77.39678958,25.49999957,207.27,47.59907868,50.8561894,18.31195535,-3.827270522,-32.40092132,158.3119554,-32.40092132,158.3119554,believe a great math teacher is someone who is passionate about the subject and aware of and sensitive to students' needs,2,23,9,0,1,11,-5.470781266,-3.474270044,-28.47078127,1.525729956
230,135,0,-0.19089,0.02259,136,1.5,-3,-0.3321476,-0.1116428,0.0379722,0.1948645,4.4508193,-0.0503914,-0.1882362,-4.0503914,-1.5503914,-0.5882362,-39.50806838,-16.97387797,-74.50806838,73.02612203,25.99999956,208.74,33.63982235,9.100291598,39.65302451,51.19750671,-46.36017765,179.6530245,-46.36017765,179.6530245,"a network passionate math educators, and increased my self-confidence in the classroom",2,14,3,0,1,14,-4.412105057,-4.851116259,-27.41210506,0.148883741
105,204,0,-0.41232,-0.29037,205,-3.5,0.5,-0.3321476,-0.1116428,0.038371,0.1958852,4.4721667,-0.0466047,-0.1902604,-4.0466047,-1.5466047,-0.5902604,-38.51194515,-21.27980452,-73.51194515,68.72019548,26.49999955,210.21,10.71318484,-50.9838826,51.90595024,14.47907852,-69.28681516,191.9059502,-69.28681516,191.9059502,am passionate about continuing my work in the classroom,2,1,4,0,1,8,-3.028753173,-5.901411206,-26.02875317,-0.901411206
80,163,0,-0.51159,-0.01923,164,0.5,3,-0.3321476,-0.1116428,0.0407397,0.2018408,4.5963592,-0.023367,-0.2004836,-4.023367,-1.523367,-0.6004836,-37.09201641,-25.47905648,-72.09201641,64.52094352,26.99999954,211.68,-15.77547189,-19.90447984,51.6443074,-50.19772587,-95.77547189,191.6443074,-95.77547189,191.6443074,students should have teachers who are passionate and energized,1,11,2,1,1,4,-1.419934066,-6.556202196,-24.41993407,-1.556202196
125,212,0,-0.25584,-0.30082,213,-2.5,3.5,-0.3321476,-0.1116428,0.0416109,0.2039874,4.6409717,-0.0145558,-0.2034674,-4.0145558,-1.5145558,-0.6034674,-35.26761977,-29.53294763,-70.26761977,60.46705237,27.49999953,213.15,-39.31876524,48.82781535,38.45822019,-25.31490565,-119.3187652,178.4582202,-119.3187652,178.4582202,my passion for teaching math at the high school level was initially informed by travel experiences,2,22,1,1,0,7,0.303200746,-6.775549373,-22.69679925,-1.775549373
252,170,0,-0.37898,0.08709,171,3.5,2.5,-0.3321476,-0.1116428,0.041688,0.2041764,4.6448966,-0.0137699,-0.2037116,-4.0137699,-1.5137699,-0.6037116,-33.06097498,-33.4061661,-68.06097498,56.5938339,27.99999952,214.62,-53.90592127,30.64701897,15.17074989,46.86960879,-133.9059213,155.1707499,-133.9059213,155.1707499,teachers who were just as passionate and dedicated to the profession as I was,6,1,8,0,0,14,2.025552279,-6.549590671,-20.97444772,-1.549590671
220,195,0,-0.15397,-0.22007,196,-3,-3.5,-0.3321476,-0.1116428,0.0435037,0.2085754,4.7360585,0.0049364,-0.208517,-3.9950636,-1.4950636,-0.608517,-30.49670492,-37.06684488,-65.49670492,52.93315512,28.49999951,216.09,-55.55478692,-44.32547622,-12.75404448,35.83646408,-135.5547869,127.2459555,-135.5547869,127.2459555,something new and exciting while collaborating with other passionate individuals,3,25,1,1,1,9,3.635729737,-5.897581646,-19.36427026,-0.897581646
137,165,0,-0.49777,-0.24824,166,1.5,3,-0.3321476,-0.1116428,0.0460896,0.2146848,4.8621155,0.032024,-0.2122829,-3.967976,-1.467976,-0.6122829,-27.60138642,-40.4865838,-62.60138642,49.5134162,28.99999951,217.56,-43.38735576,-40.81862365,-38.49074382,-41.20485364,-123.3873558,101.5092562,-123.3873558,101.5092562,granted me the opportunity to learn and grow with a community of passionate teachers,1,28,4,0,0,22,5.032912606,-4.865160912,-17.96708739,0.134839088
238,160,0,-0.50166,0.02105,161,-1,3,-0.3321476,-0.1116428,0.0463418,0.2152715,4.8741886,0.0346791,-0.2124599,-3.9653209,-1.4653209,-0.6124599,-24.40313229,-43.64043004,-59.40313229,46.35956996,29.4999995,219.03,-19.96086139,37.52431359,-55.52084305,-45.52939588,-99.96086139,84.47915695,-99.96086139,84.47915695,"very passionate about math, my content area",1,1,2,0,1,10,6.132566705,-3.520174088,-16.86743329,1.479825912
283,145,0,-0.29186,-0.32467,146,-3,-2.5,-0.3321476,-0.1116428,0.0470037,0.2168033,4.9056792,0.0416455,-0.2127659,-3.9583545,-1.4583545,-0.6127659,-20.93120547,-46.50682356,-55.93120547,43.49317644,29.99999949,220.5,9.255056656,49.90598255,-59.28190218,33.30755029,-70.74494334,80.71809782,-70.74494334,80.71809782,but my ambition lies in living my life by my passions,2,54,5,0,1,16,6.870769785,-1.947440004,-16.12923022,3.052559996
388,151,0,-0.26276,0.09581,152,-3,0.5,-0.3321476,-0.1116428,0.0478513,0.2187494,4.9456321,0.0505604,-0.2128261,-3.9494396,-1.4494396,-0.6128261,-17.21566531,-49.06751337,-52.21566531,40.93248663,30.49999948,221.97,37.15238937,-28.58527783,-48.38078094,53.88767847,-42.84761063,91.61921906,-42.84761063,91.61921906,being able to discuss curriculum and the types of resources that are being used by other teachers,2,16,4,0,0,9,7.207011639,-0.242864657,-15.79298836,4.757135343
307,198,0,-0.412,-0.3237,199,-3.5,-2.5,-0.3321476,-0.1116428,0.0513446,0.2265936,5.1060219,0.0869091,-0.2092641,-3.9130909,-1.4130909,-0.6092641,-13.28704572,-51.30744991,-48.28704572,38.69255009,30.99999947,223.44,56.71401294,-57.41665306,-25.050364,-23.39504116,-23.28598706,114.949636,-23.28598706,114.949636,am able to develop new resources which I share with the group,1,9,1,1,1,5,7.125437292,1.492696685,-15.87456271,6.492696685
78,162,0,-0.48579,-0.27835,163,0,3,-0.3321476,-0.1116428,0.0513973,0.2267096,5.1083876,0.0874486,-0.209165,-3.9125514,-1.4125514,-0.609165,-9.17606442,-53.21465815,-44.17606442,36.78534185,31.49999946,224.91,62.77748102,17.78094045,5.290356976,-60.43871406,-17.22251898,145.290357,-17.22251898,145.290357,gained many resources including a great graphic organizer for getting students to generate their own ideas,4,1,8,0,1,11,6.634594208,3.1594556,-16.36540579,8.1594556
75,136,0,-0.17586,-0.27748,137,1,-3,-0.3321476,-0.1116428,0.0519278,0.2278767,5.1321602,0.0928715,-0.2080929,-3.9071285,-1.4071285,-0.6080929,-4.913362125,-54.78009559,-39.91336213,35.21990441,31.99999945,226.38,53.39031434,62.90404415,35.29127846,11.79327054,-26.60968566,175.2912785,-26.60968566,175.2912785,"they are all incredibly generous with their ideas, resources, and time",3,1,3,0,1,11,5.765822619,4.664256588,-17.23417738,9.664256588
159,133,0,-0.49597,0.05268,134,2.5,-3,-0.3321476,-0.1116428,0.0538398,0.232034,5.2166612,0.1121119,-0.2031519,-3.8878881,-1.3878881,-0.6031519,-0.52927057,-55.99749881,-35.52927057,34.00250119,32.49999945,227.85,30.40260147,-5.48807842,57.45156068,64.76790096,-49.59739853,197.4515607,-49.59739853,197.4515607,shared online Dropbox and GoogleDrive collaborative folders that are treasure troves of teaching resources,3,1,6,0,0,9,4.570489018,5.92542236,-18.42951098,10.92542236
