Date,State,City,Address,Killed,Injured
November 13 2019,Texas,Victoria,200 block of Monterrey Dr,1,0
November 13 2019,Arkansas,Fort Smith,4400 block of Windsor,1,0
November 13 2019,California,Oakland,7300 block of Lockwood St,0,1
November 13 2019,Virginia,Richmond,2852 Fairfield Ave,0,0
November 13 2019,Michigan,Battle Creek,100 block of Battle Creek Ave,0,1
November 13 2019,Louisiana,New Orleans (Gentilly),Mithra St and Peoples St,1,0
November 13 2019,Virginia,Big Rock,N/A,0,1
November 13 2019,Virginia,Smithfield,603 W Main St,1,0
November 13 2019,Texas,Dallas,10100 block of Forest Ln,1,0
November 13 2019,North Carolina,Wilson,600 block of Jordan St,1,0
November 13 2019,North Carolina,Concord,920 Church St N,0,0
November 13 2019,Tennessee,Dayton,N/A,0,0
November 13 2019,New York,Rochester,141 East Ave,0,2
November 13 2019,New York,Brooklyn,E 101st St and Ave M,0,1
November 13 2019,New York,Rochester,Gothic St,0,0
November 13 2019,Texas,Odessa,800 block of Fitch Ave,0,0
November 13 2019,Colorado,Denver,4500 block of Espana Way,0,1
November 13 2019,New York,Rochester,Finch Street and Glenwood Avenue,0,1
November 13 2019,Tennessee,Memphis,4537 Mill Stream Dr,1,0
November 13 2019,Tennessee,Memphis,5300 block of Neely Rd,1,0
November 13 2019,Florida,Jacksonville,McCormick Rd,1,0
November 13 2019,Connecticut,New Britain,Grand St and Prospect St,0,1
November 13 2019,Texas,Beaumont,3590 E Lucas Dr,0,0
November 13 2019,California,Los Angeles,4211 Dozier St,1,0
November 13 2019,Texas,Houston,5000 block of Reed Rd,0,1
November 13 2019,Ohio,Cleveland,Eleanore Dr and W 156th St,0,2
November 13 2019,Maryland,Baltimore,500 block of N Curley St,0,1
November 13 2019,California,Anza,39400 block of Cary Rd,1,0
November 13 2019,Texas,Dallas,3727 Dilido Rd,0,1
November 13 2019,California,Concord,1800 block of Robin Lane,1,0
November 13 2019,Kentucky,Bardstown,New Haven Rd,0,1
November 13 2019,Kentucky,Louisville,1212 W Broadway,0,1
November 13 2019,Massachusetts,Lynn,42 West Baltimore St,0,1
November 13 2019,New Hampshire,Manchester,Walnut Street,0,1
November 13 2019,Arizona,Tempe,2346 E Southern Ave,1,0
November 13 2019,Florida,Crestview,Equine Dr,2,0
November 13 2019,Maryland,Baltimore,2800 block of W Lanvale St,1,0
November 13 2019,Florida,Fort Lauderdale (Lauderhill),NW 55th Ave,0,2
November 13 2019,Florida,Fort Lauderdale (Lauderhill),5428 N University Dr,0,0
November 13 2019,Florida,Jacksonville,4676 Chesapeake Ln,1,0
November 13 2019,Kentucky,Clay City,Bert T Combs Mountain Pkwy,0,0
November 12 2019,California,San Francisco,3rd St and Palou Ave,0,1
November 12 2019,Texas,Jourdanton,800 block of Magnolia St,0,1
November 12 2019,North Carolina,Charlotte,9870 Rea Rd,0,0
November 12 2019,Tennessee,Portland,TN-52 and TN-109,0,0
November 12 2019,Tennessee,Memphis,6660 Poplar Ave,0,0
November 12 2019,New York,Niagara Falls,Pine Ave and 15th St,0,1
November 12 2019,Virginia,Richmond,2300 block of Joplin Ave,0,1
November 12 2019,South Carolina,North,Wisterwood Cir,0,1
November 12 2019,Virginia,Bridgewater,7000 block of Mudhole Ln,0,1
November 12 2019,Colorado,Colorado Springs,Northview Dr and Lelaray St,0,0
November 12 2019,Massachusetts,Leicester,319 Stafford Street,0,0
November 12 2019,California,Fresno,Elm Ave and Jensen Ave,0,1
November 12 2019,California,Oakland,1900 block of Crosby Ave,0,1
November 12 2019,Virginia,Gordonsville,7084 S Spotswood Trail,1,1
November 12 2019,New Mexico,Albuquerque,N/A,0,0
November 12 2019,Wisconsin,Milwaukee,N 30th St and W Congress St,0,1
November 12 2019,Kentucky,Louisville,8620 Preston Hwy,0,0
November 12 2019,New Jersey,Mount Laurel,5100 block of Church Rd,0,0
November 12 2019,Illinois,Danville,English St and Fowler Ave,0,1
November 12 2019,South Carolina,Beaufort,1 Blue Dolphin Dr,0,0
November 12 2019,Texas,Cypress,16611 Mystic Timber Ln,0,1
November 12 2019,Massachusetts,Chicopee,Bemis Street,0,0
November 12 2019,Maryland,Parkville,Wentworth Ave and Hillsway Ave,0,1
November 12 2019,Tennessee,Nashville,400 block of Merritt Ave,0,1
November 12 2019,Pennsylvania,Mckeesport,11th St and Locust St,0,0
November 11 2019,Texas,Wichita Falls,600 block of Roosevelt St,0,1
November 11 2019,Texas,Houston (Cloverleaf),719 Barbara Mae St,1,0
November 11 2019,Oklahoma,Stillwater,4545 W 6th Ave,0,0
November 11 2019,Texas,San Antonio,W Houston St and N Leona St,0,1
November 11 2019,Tennessee,Memphis,5925 E Shelby Dr,0,1
November 11 2019,Virginia,Vinton,2200 block of Stone Creek Path,0,0
November 11 2019,Ohio,Akron,900 block of Concord Ave,1,0
November 11 2019,Texas,Denton,2500 block of W Hickory St,0,0
November 11 2019,Virginia,Suffolk,N Broad St and 2nd Ave,0,1
November 11 2019,Missouri,Saint Louis,Klocke St and Louisiana Ave,1,0
November 12 2019,Louisiana,Baton Rouge,3000 block of Crestwood St,1,0
November 12 2019,Michigan,Center Line,24436 Van Dyke Ave,1,1
November 12 2019,Florida,Stuart,4775 NE Ocean Blvd,2,0
November 12 2019,Washington,Seattle,Rainier Ave S and S Henderson St,0,1
November 11 2019,Texas,Wichita Falls,600 block of Roosevelt St,0,1
November 11 2019,Texas,Houston (Cloverleaf),719 Barbara Mae St,1,0
November 11 2019,Oklahoma,Stillwater,4545 W 6th Ave,0,0
November 11 2019,Texas,San Antonio,W Houston St and N Leona St,0,1
November 11 2019,Tennessee,Memphis,5925 E Shelby Dr,0,1
November 11 2019,Virginia,Vinton,2200 block of Stone Creek Path,0,0
November 11 2019,Ohio,Akron,900 block of Concord Ave,1,0
